2016, ZMass, ee,0.526366,0.008920,1.881363,0.002788
2016, MET, ee,0.528328,0.006414,1.873878,0.002578
2016, METsig, ee,0.524823,0.007135,1.412409,0.124895
2016, ZMass,mm,0.627887,0.009212,1.009230,0.451192
2016, MET, mm,0.643302,0.006664,1.580404,0.022673
2016, METsig, mm,0.632638,0.007390,2.259816,0.002752
2017, ZMass, ee,0.530736,0.007828,1.543721,0.030987
2017, MET, ee,0.559138,0.005759,1.820463,0.003924
2017, METsig, ee,0.544329,0.007127,1.651588,0.048329
2017, ZMass,mm,0.620909,0.007923,1.757435,0.007093
2017, MET, mm,0.669641,0.005892,1.654698,0.013511
2017, METsig, mm,0.640737,0.007231,2.878032,0.000096
2018, ZMass, ee,0.517820,0.006014,1.581395,0.024225
2018, MET, ee,0.537244,0.004383,1.419839,0.063584
2018, METsig, ee,0.519488,0.005361,0.983311,0.471747
2018, ZMass,mm,0.621776,0.006304,2.118871,0.000407
2018, MET, mm,0.656151,0.004646,1.986696,0.001029
2018, METsig, mm,0.641222,0.005726,1.306387,0.182301
